Id,ActivityDate,Hour,Calories
USER_0001,2024-10-01,00:00,0.0
USER_0001,2024-10-01,01:00,9.12944269378573
USER_0001,2024-10-01,02:00,0.0
USER_0001,2024-10-01,03:00,4.66256243316117
USER_0001,2024-10-01,04:00,12.100335908811363
USER_0001,2024-10-01,05:00,6.943998970884503
USER_0001,2024-10-01,06:00,13.35280812092234
USER_0001,2024-10-01,07:00,17.610316872683075
USER_0001,2024-10-01,08:00,13.736944255602449
USER_0001,2024-10-01,09:00,0.0
USER_0001,2024-10-01,10:00,6.317140017914898
USER_0001,2024-10-01,11:00,0.0
USER_0001,2024-10-01,12:00,4.461385331833503
USER_0001,2024-10-01,13:00,10.910095564937823
USER_0001,2024-10-01,14:00,13.337615969971107
USER_0001,2024-10-01,15:00,2.1197262788595115
USER_0001,2024-10-01,16:00,9.353789643253531
USER_0001,2024-10-01,17:00,13.857742180912624
USER_0001,2024-10-01,18:00,7.436560501536984
USER_0001,2024-10-01,19:00,2.0410962246013096
USER_0001,2024-10-01,20:00,19.066672620206432
USER_0001,2024-10-01,21:00,6.429944242234156
USER_0001,2024-10-01,22:00,4.439300322095476
USER_0001,2024-10-01,23:00,15.022122650556774
USER_0002,2024-10-01,00:00,0.0
USER_0002,2024-10-01,01:00,0.0
USER_0002,2024-10-01,02:00,4.699544716479645
USER_0002,2024-10-01,03:00,0.0
USER_0002,2024-10-01,04:00,3.8025393585061877
USER_0002,2024-10-01,05:00,0.0
USER_0002,2024-10-01,06:00,6.047120654361009
USER_0002,2024-10-01,07:00,0.0
USER_0002,2024-10-01,08:00,1.25013959082562
USER_0002,2024-10-01,09:00,1.7923823590387107
USER_0002,2024-10-01,10:00,10.980846387640211
USER_0002,2024-10-01,11:00,0.0
USER_0002,2024-10-01,12:00,13.816100704160394
USER_0002,2024-10-01,13:00,29.232668975072826
USER_0002,2024-10-01,14:00,3.1781781532961437
USER_0002,2024-10-01,15:00,0.0
USER_0002,2024-10-01,16:00,15.362932661647216
USER_0002,2024-10-01,17:00,15.122460843962415
USER_0002,2024-10-01,18:00,8.558595728313927
USER_0002,2024-10-01,19:00,17.058052244962212
USER_0002,2024-10-01,20:00,0.0
USER_0002,2024-10-01,21:00,0.0
USER_0002,2024-10-01,22:00,0.0
USER_0002,2024-10-01,23:00,0.0
